1.04376,0.75309,0.89138
0.82159,0.99307,0.20919
0.50953,0.29039,0.53016
0.61913,0.20959,0.82045
0.51758,0.47210,0.32064
0.74791,0.86306,0.24082
0.86459,0.39199,1.02356
0.86223,0.93845,0.34716
0.79643,0.62851,0.61387
1.01863,0.87677,0.69545
0.86046,0.68481,0.65613
0.40318,0.48968,0.09976
0.38714,0.37070,0.21821
1.12011,0.81452,0.94878
0.60556,0.24603,0.75199
0.67423,0.21507,0.90968
1.28348,1.01786,0.98315
0.51334,0.57069,0.19196
0.75113,0.42682,0.78311
0.63024,0.52067,0.45709
1.00888,0.93457,0.60734
1.24617,1.05453,0.87306
1.26075,0.93135,1.04999
0.80456,0.69961,0.54055
0.78598,0.94243,0.20947
0.26315,0.26094,0.13730
0.27255,0.28192,0.12786
0.89761,1.01342,0.31655
1.27091,1.05019,0.92148
0.86087,0.89494,0.39833
1.00848,0.99316,0.53459
0.65958,0.48428,0.55297
0.82632,0.78814,0.46954
1.20293,0.87529,1.01824
1.11475,0.94627,0.77735
1.02622,0.71367,0.90931
1.19650,0.89885,0.97806
1.08297,0.79073,0.91336
0.48407,0.09065,0.73155
0.65843,0.53626,0.48702
0.78897,0.74221,0.46100
0.82513,0.38155,0.96768
0.75109,0.37493,0.84687
0.14710,0.17951,0.03535
0.15886,0.07402,0.18561
1.19731,0.90433,0.97273
0.70465,0.80268,0.23975
0.93161,0.66279,0.80713
0.80706,0.36915,0.95145
0.68165,0.59298,0.45769
0.51642,0.31957,0.50628
0.47659,0.46509,0.25788
0.94723,0.64393,0.85755
0.38528,0.43224,0.13925
0.89719,0.96915,0.37029
0.84840,0.66520,0.65925
0.70883,0.53433,0.57718
0.71874,0.43493,0.71671
0.57585,0.52176,0.36102
0.43464,0.28752,0.40327
0.35557,0.10190,0.49392
0.65573,0.52525,0.49586
0.57150,0.27180,0.66097
0.40212,0.44021,0.15879
1.15956,1.02839,0.75436
0.70697,0.46266,0.66211
0.75560,0.82579,0.30005
1.04923,1.02761,0.56317
0.58916,0.46177,0.45801
0.21996,0.07714,0.28819
0.53411,0.55424,0.24838
0.67640,0.34994,0.74753
0.68612,0.72811,0.29922
0.47091,0.31155,0.43686
0.14372,0.14015,0.07789
0.95087,0.56293,0.96354
0.71727,0.23002,0.96624
0.52718,0.45396,0.35968
1.19085,1.01172,0.82937
0.61523,0.40119,0.57796
0.06414,0.03410,0.06975
0.05123,0.05288,0.02417
1.17575,0.86804,0.97983
0.27970,0.10964,0.35225
0.49825,0.34974,0.43751
0.73599,0.42441,0.75970
0.76044,0.37736,0.86017
0.84334,0.49832,0.85574
0.31346,0.24931,0.23922
0.90407,0.66964,0.75074
0.83056,0.63566,0.66451
0.39492,0.11113,0.55109
0.63592,0.16593,0.90341
0.50660,0.08539,0.77726
0.63194,0.29630,0.73608
0.79318,0.33649,0.96747
0.43651,0.17718,0.54228
0.49999,0.12896,0.71214
0.43409,0.28243,0.40857
0.73936,0.71885,0.40333
